MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
a6b6905723,Hf18CrRe7SiAs,"['Si', 'Cr', 'As', 'Hf', 'Re']",trigonal,P3m1,0.0047,-0.3812,-0.0109,58.06,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
8c404e03e5,ScTa2Re3SiGe2,"['Si', 'Sc', 'Ge', 'Ta', 'Re']",orthorhombic,Amm2,0.0109,-0.5033,-0.0839,58.1,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
2a88d10add,Hf3SiGe2MoRu2,"['Si', 'Ge', 'Mo', 'Ru', 'Hf']",orthorhombic,Amm2,,-0.7902,-0.04,50.44,65,5.71,2.39,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
ca671b8d11,Zr6Ta3Nb(Si3N)2,"['N', 'Si', 'Zr', 'Nb', 'Ta']",trigonal,P312,0.0017,-1.0504,-0.0412,50.45,65,7.15,1.95,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
f5dd60fe13,Y2Ta3Co9SiAs6,"['Si', 'Co', 'As', 'Y', 'Ta']",hexagonal,P-6,0.0012,-0.642,-0.0394,50.45,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
2c5aea837e,Zr3TaNbSi3N,"['N', 'Si', 'Zr', 'Nb', 'Ta']",trigonal,P-31m,0.012,-1.0581,-0.0434,50.45,65,7.15,1.95,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
42a05b7c22,Hf4ZnCo2Si4Ir,"['Si', 'Co', 'Zn', 'Hf', 'Ir']",monoclinic,Pm,0.0045,-0.8373,-0.0783,50.46,65,9.68,3.93,True,"['semiconductor', 'superalloy', 'optical', 'defense']"
d7113f3b09,Ta3Ti7Si4(GeC)2,"['C', 'Si', 'Ti', 'Ge', 'Ta']",monoclinic,Pm,0.0023,-0.7656,-0.023,50.46,65,7.33,3.16,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
94f55f50f6,Hf4Zr3U(Nb3Si4)4,"['Si', 'Zr', 'Nb', 'Hf', 'U']",triclinic,P1,inf,-0.7947,-0.0987,50.47,65,8.18,1.96,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
a7a28631a2,K6Rb12InGaAs8,"['K', 'Ga', 'As', 'Rb', 'In']",hexagonal,P-6m2,,-0.3626,-0.0219,50.48,65,8.5,3.6,True,"['semiconductor', 'quantum', 'optical']"
