MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,NSites,Density,microgravity_advantage_score,density_contrast_score,crystal_quality_score,containerless_score,commercial_score,novelty_score,target_sectors,_n_elements,bandgap_category,bandgap_application
a4fcc35e6e,Rb7LiTaIn2As5,"['Li', 'As', 'Rb', 'In', 'Ta']",triclinic,P-1,0.9326,-0.4449,-0.0858,32,3.7632,82.18,21.002,7.0,3.0,10.5,2.5,"['semiconductor', 'quantum', 'optical']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
bc0804c181,Na9Li3(OsN2)4,"['Li', 'N', 'Na', 'Os']",triclinic,P1,1.0541,-0.32,-0.0709,24,4.8742,82.18,29.5,3.0,3.0,3.0,2.0,['battery'],4,solar_cell,"Solar cells / photovoltaics (Si=1.1, GaAs=1.42)"
a503094b63,Cs14LiTa2(InAs2)5,"['Li', 'As', 'In', 'Cs', 'Ta']",triclinic,P1,0.9092,-0.4469,-0.0445,32,4.4291,82.13,20.98,7.0,3.0,10.5,2.5,"['semiconductor', 'quantum', 'optical']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
aa6b1cc5bd,Cs7LiTaIn2As5,"['Li', 'As', 'In', 'Cs', 'Ta']",triclinic,P-1,0.641,-0.4533,-0.0388,32,4.2942,82.13,20.98,7.0,3.0,10.5,2.5,"['semiconductor', 'quantum', 'optical']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
fe1cd6678a,K6Li4TaTiP6,"['Li', 'P', 'K', 'Ti', 'Ta']",orthorhombic,C222_1,0.5437,-0.6387,-0.0684,36,2.5746,81.9,21.128,5.5,3.0,12.0,2.5,"['battery', 'quantum', 'superalloy']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
d723cb3885,KSrLiOsN4,"['Li', 'N', 'K', 'Sr', 'Os']",monoclinic,P2_1/m,1.3693,-0.5362,-0.0435,16,5.0915,81.59,29.076,3.0,3.0,3.0,2.5,['battery'],5,solar_cell,"Solar cells / photovoltaics (Si=1.1, GaAs=1.42)"
be1e1e517a,NaSrLiOsN4,"['Li', 'N', 'Na', 'Sr', 'Os']",monoclinic,P2_1/m,1.2061,-0.5507,-0.068,16,5.2601,81.58,29.069,3.0,3.0,3.0,2.5,['battery'],5,solar_cell,"Solar cells / photovoltaics (Si=1.1, GaAs=1.42)"
2316ae94e4,Li3Ni2OsO6,"['Li', 'O', 'Ni', 'Os']",monoclinic,C2/m,0.5415,-1.7174,-0.0051,12,6.2343,81.08,29.018,3.0,3.0,3.0,2.0,['battery'],4,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
93fa729eff,Sr4Li2MoOsN8,"['Li', 'N', 'Sr', 'Mo', 'Os']",monoclinic,Pm,0.8928,-0.8758,-0.0375,16,5.1741,81.05,28.837,3.0,3.0,3.0,2.5,['defense'],5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
58f127878c,K12Li8Ta3TiP12,"['Li', 'P', 'K', 'Ti', 'Ta']",monoclinic,C2,0.3951,-0.6164,-0.0601,36,2.827,80.95,21.128,5.0,3.0,12.0,2.5,"['battery', 'quantum', 'superalloy']",5,IR_detector,Infrared detectors / thermal imaging (defense)
da5855d452,Ba2LiReMoH17,"['H', 'Li', 'Mo', 'Ba', 'Re']",monoclinic,Cm,0.9932,-0.409,-0.0593,22,4.1402,80.89,26.766,3.0,3.0,6.0,2.5,"['superalloy', 'defense']",5,thermoelectric,Thermoelectrics / IR sensors / narrow-gap semiconductor
